"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"rplL",110235.90804912,-0.0327108495675176,0.093350314136694,-0.35040963568284,0.726031296022877,0.800336487582192
"pgaptmp_000136",1750.51138333857,-0.970998569593549,0.179861650850786,-5.39858588532078,6.71682121098686e-08,3.59195525104786e-07
"rpoB",97575.4140182953,-0.625946364772102,0.0931902162594565,-6.71686782043049,1.85672247778065e-11,1.69380418193617e-10
"rpoC",202999.193649399,-0.167532638732218,0.100873695539427,-1.66081591277417,0.0967504242521093,0.159197647686274
"pgaptmp_000139",32009.5239934781,-1.02846899745141,0.133746465702991,-7.68969102881057,1.47490767297857e-14,2.02568500325691e-13
"rpsL",57709.9700876353,-0.708170953534277,0.102691019160052,-6.89613326780346,5.34370685125135e-12,5.20661698962239e-11
"rpsG",68131.3313668444,-0.582777620128666,0.0792026204599769,-7.35805983115367,1.86602411976461e-13,2.24043283024641e-12
"fusA",387679.528574089,-0.341733608466834,0.0992305078089771,-3.44383613479723,0.000573523187468037,0.00159659932966046
"tuf",586154.309507839,0.0927155444420786,0.0918790746999221,1.00910402879969,0.312924746038896,0.416954204127568
"pgaptmp_000144",569.922286128085,-0.37447093865503,0.205946253855945,-1.81829449015841,0.0690191344869887,0.118059807723315
"rpsJ",21539.5830142487,-0.279039399085773,0.0840840803451138,-3.31857585812304,0.000904777434099397,0.00240713481752534
"rplC",62186.8145759259,-0.26852363957487,0.069697124642695,-3.85272191573852,0.000116812027905239,0.000366898200728524
"rplD",69433.3115819677,-0.43245474817378,0.079199736883605,-5.4603053645157,4.75316325859829e-08,2.59402839420862e-07
"rplW",38636.0722072823,-0.36579717773664,0.0720038248076341,-5.08024648293206,3.76945465481101e-07,1.79410616690621e-06
"rplB",133875.207206967,-0.277684612877697,0.0749385038184443,-3.70549982623688,0.000210974274488214,0.000635826922789581
"rpsS",40566.2441827498,-0.313543456735293,0.0913186811256556,-3.43350837824578,0.000595823789391195,0.00165250085254398
"rplV",47978.7912901946,-0.340410825527928,0.0757778506374959,-4.49222065107622,7.04843400191906e-06,2.72139744347954e-05
"rpsC",93751.1390560171,-0.161165121329386,0.0729922587864346,-2.2079755306783,0.027245978946844,0.0515816549542997
"rplP",54837.4020426702,0.00675526800841097,0.0788132909395947,0.085712294561947,0.931695128451246,0.954291623093724
"rpmC",20779.7311086088,0.0617677243259527,0.0776556158625816,0.795405762221448,0.426377509147638,0.532900298538451
"rpsQ",47393.2367157611,0.0458828581345068,0.0715538470261749,0.641235377850789,0.521369767565647,0.623348937449841
"rplN",41209.8086863361,0.133721096943682,0.108927544525604,1.22761508602859,0.219591495915401,0.314595668898045
"rplX",22056.4399418026,0.419555779834676,0.0932653303498836,4.4985181338094,6.84287606090374e-06,2.65857877856824e-05
"rplE",100551.272375266,0.0507367801406627,0.101127098270996,0.501713002826407,0.61586941664089,0.705544533769941
"rpsN",43611.4557023441,0.0984549109733053,0.0794297411721299,1.23952199164223,0.215152249683012,0.309666153642757
"rpsH",75412.7361024346,0.194707814187345,0.0869780346505765,2.23858604036708,0.02518286337519,0.0480177343660128
"rplF",120111.393572466,0.0782094195987715,0.0755440385785717,1.03528247986673,0.300537009459449,0.404702875979765
"rplR",60989.3390391291,0.161074379500975,0.105182449121305,1.5313807659604,0.12567531490045,0.19687016921695
"rpsE",96913.9011763656,0.212020448973627,0.0970205666546022,2.18531447799547,0.0288657965694768,0.0543717079107249
"rpmD",41829.3529927351,0.297916652176058,0.0878768806713964,3.39015961763683,0.000698519394812617,0.00189634514040303
"rplO",136302.42989653,0.311041533908767,0.07900063578405,3.9372029202272,8.2436893558049e-05,0.000266114586143156
"secY",268772.860907698,-0.314105930760586,0.0970605618802775,-3.23618496200373,0.00121138861917694,0.00310736625815064
"pgaptmp_000167",95073.710119389,-0.637343441220332,0.0849511343500162,-7.50247122768656,6.2625763775303e-14,8.02838835538075e-13
"map",104941.129545401,-0.713897158158349,0.0862111910529932,-8.28079451679913,1.22356160353806e-16,2.15833947316049e-15
"pgaptmp_000169",27146.9719472545,-0.608500530192923,0.0962521384960587,-6.32194296875638,2.58294716740219e-10,1.97708829268225e-09
"infA",18802.8588506316,-0.674072020575315,0.0974674043193155,-6.91587126263227,4.64996536143744e-12,4.56653590376521e-11
"rpmJ",15419.1711189531,-0.519171315417629,0.139719710604063,-3.71580583135369,0.000202557093491155,0.00061095421553815
"rpsM",65185.5104693937,-0.435535121254433,0.0715097699151678,-6.09056806882626,1.12510732475082e-09,7.72629052162832e-09
"rpsK",114720.547245983,-0.564977306576726,0.0815566879117876,-6.92741847471553,4.28589376219796e-12,4.22013137113778e-11
"pgaptmp_000174",221437.50558109,-0.474216533536113,0.0779161016753987,-6.08624563266417,1.1558906372875e-09,7.89399073758548e-09
"rplQ",64314.6168218851,-0.0336591968692512,0.0921876379885802,-0.365116165286941,0.71502469452988,0.790413398586342
"pgaptmp_000176",2517.23026193466,-1.22191534046944,0.151881907849033,-8.04516718136039,8.61277638131475e-16,1.39985823979273e-14
"pgaptmp_000177",2937.57094810338,-0.519445147727778,0.100194010820548,-5.18439319350262,2.16719296152675e-07,1.07264523973438e-06
"pgaptmp_000178",4065.92657092315,-0.353108379972905,0.0894171700527149,-3.9489997252735,7.8478441728001e-05,0.000254883734826893
"truA",9400.24936883697,-0.799515321085963,0.119102561215481,-6.71283063039658,1.90884637199508e-11,1.73709686957596e-10
"rplM",45987.1583919954,0.119115354362079,0.0880502376061077,1.35281127684108,0.176115929226616,0.261782543363205
"rpsI",65356.9544909023,0.0284488980908721,0.0898657927497717,0.316570935618262,0.751569192313989,0.821056804752764
"pgaptmp_000182",879.164070918688,-0.905505625951226,0.175828579434584,-5.14993426474286,2.60577770307038e-07,1.26614942700104e-06
"pgaptmp_000183",697.483907542496,-0.263021458759911,0.184923671711557,-1.4223244451374,0.154932085579924,0.234890925673515
"pgaptmp_000184",54.5352381454694,-0.531826436436163,0.518326284196982,-1.02604566399733,0.304870060306416,0.408910401607381
"cwlD",69.3241695573187,-0.498131583916285,0.409881024630045,-1.21530774537781,0.224248738916856,0.319545867629609
"pgaptmp_000186",38194.3671016021,0.122236250798556,0.0732472695206166,1.66881648419878,0.095153754824188,0.156783576605797
"gerD",10.3230693435638,0.60859147323283,1.2236995234381,0.497337345954777,0.618951180144853,0.707324833266155
"kbaA",2464.90457772946,0.227087452915504,0.116199194606695,1.95429455155983,0.0506663928358423,0.0899787488657333
"pdaB",65.5276603665938,-0.0448181914122772,0.432872469322543,-0.103536710205708,0.917537015508576,0.947052903971969
"pgaptmp_000201",2556.76295606964,-0.0043708392557279,0.110888334189225,-0.0394165832473352,0.968558258664261,0.981746688112304
"pgaptmp_000202",1744.27268727155,-0.759414089917584,0.12452133620095,-6.09866640598892,1.06957016354919e-09,7.44100962379454e-09
"pgaptmp_000203",845.815855135208,-0.093828806758993,0.166677091531601,-0.562937629261449,0.573477355638908,0.669116839400632
"pgaptmp_000204",1345.63758520641,0.590432495977386,0.167357258034889,3.52797663459746,0.000418749117873974,0.0011970692908809
"pgaptmp_000205",243.639014186746,-0.12937447699034,0.277755541963846,-0.465785402788397,0.641369114633238,0.72624759496955
"pgaptmp_000206",976.527081322536,-0.151253899845387,0.147175235374443,-1.02771298079168,0.304084859895615,0.408593447123277
"pgaptmp_000207",2057.57038582527,0.11116243863964,0.152759694635382,0.727694820973366,0.466800421371303,0.573788364710696
"feuC",3476.31256887523,-0.282239315048265,0.0973703947810119,-2.8986152894114,0.00374814480839755,0.0086595871985448
"pgaptmp_000209",3415.87326482342,-0.564193571225288,0.110763667781817,-5.09366999598315,3.51197856120061e-07,1.68015221141243e-06
"pgaptmp_000210",9583.55787084132,0.404947029196201,0.091273048168674,4.43665504024641,9.13675348307577e-06,3.48432340819754e-05
"pgaptmp_000211",4098.31288444336,-0.118641004103006,0.107453681976501,-1.10411297147502,0.269544135075927,0.370884758134049
