"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"rplK",75334.4334454872,-1.05747617108226,0.120916622673503,-8.74549873872705,2.22032709168654e-18,6.49690049941611e-18
"rplA",75275.4703976145,-0.872604650442486,0.113966937136996,-7.65664737829669,1.9084971500782e-14,4.94667576085728e-14
"rplJ",155475.973069681,-1.33362838125786,0.0892248964947236,-14.9468190342672,1.63368477500945e-50,9.95184080619507e-50
"rplL",110235.90804912,-1.10501515315429,0.0934184491357026,-11.8286608627928,2.77534087866322e-32,1.18597230199592e-31
"pgaptmp_000136",1750.51138333857,-0.488989386387444,0.179680070811851,-2.72144475554821,0.00649972480345224,0.0093369261746234
"rpoB",97575.4140182953,0.848744054145196,0.0931382663125905,9.11273193873549,8.03331134966885e-20,2.460904102343e-19
"rpoC",202999.193649399,0.314623165104214,0.100871417328846,3.11905169408421,0.00181434126467771,0.00275290197056248
"pgaptmp_000139",32009.5239934781,-0.857170211683474,0.133769081255928,-6.40783508143805,1.47600437696618e-10,3.29160472802164e-10
"rpsL",57709.9700876353,0.0353066108921844,0.10266311179798,0.343907468552682,0.730915874995036,0.769581014634095
"rpsG",68131.3313668444,0.212105773429335,0.0791690311758589,2.67915080277012,0.00738091442164622,0.0105336516400948
"fusA",387679.528574089,0.160015768488591,0.099229042779983,1.61259006441681,0.106833598473889,0.134426860554366
"tuf",586154.309507839,0.66877735951089,0.0918776220430912,7.27900161801346,3.36299650712024e-13,8.32805921457189e-13
"pgaptmp_000144",569.922286128085,-0.906034340886277,0.209518070136822,-4.3243732642946,1.52966110866536e-05,2.63217690543341e-05
"rpsJ",21539.5830142487,0.554235881713239,0.0839825633824645,6.59941610961785,4.12780244225839e-11,9.39674659944081e-11
"rplC",62186.8145759259,0.405295849608267,0.0696689642771769,5.81745191439626,5.97514426232832e-09,1.24381918033479e-08
"rplD",69433.3115819677,0.0984572103715325,0.079187119370083,1.2433488066587,0.213739326240708,0.257458946421482
"rplW",38636.0722072823,0.0954336096062015,0.071989317813103,1.3256634804342,0.184951189069252,0.224376898864327
"rplB",133875.207206967,0.232600947494696,0.0749326391634452,3.10413392737096,0.00190836924655638,0.00288737818523693
"rpsS",40566.2441827498,0.397312472336661,0.0912815132108947,4.35260611224443,1.34528722428455e-05,2.32350767925155e-05
"rplV",47978.7912901946,0.246918852850461,0.0757530701727652,3.25952271356565,0.00111599844130762,0.00171926581065686
